salamander,treatment,flies.eaten,observer,date,prop_full
32,high,12,IR,11-Jul,0.0007
32,high,12,WB,13-Jul,0.0234
32,high,12,IR,13-Jul,0.0138
32,high,15,WB,18-Jul,0.0488
32,high,15,IR,18-Jul,0.0302
35,high,22,WB,11-Jul,0.0553
35,high,22,IR,11-Jul,0.1039
35,high,24,WB,13-Jul,0.1563
35,high,24,IR,13-Jul,0.1792
35,high,37,WB,18-Jul,0.1737
35,high,37,IR,18-Jul,0.0706
37,high,15,WB,11-Jul,0.1357
37,high,15,IR,11-Jul,0.0649
37,high,31,WB,13-Jul,0.0637
37,high,31,IR,13-Jul,0.1269
37,high,39,WB,18-Jul,0.0946
37,high,39,IR,18-Jul,0.0611
39,high,16,WB,11-Jul,0.0188
39,high,16,IR,11-Jul,0.0407
39,high,18,WB,13-Jul,0.0479
39,high,18,IR,13-Jul,0.0514
39,high,18,WB,18-Jul,0.0838
39,high,18,IR,18-Jul,0.0202
7,high,50,WB,11-Jul,0.1124
7,high,50,IR,11-Jul,0.1124
7,high,60,WB,13-Jul,0.1563
7,high,60,IR,13-Jul,0.1059
7,high,60,WB,18-Jul,0.141
7,high,60,IR,18-Jul,0.0513
18,high,46,WB,11-Jul,0.0787
18,high,46,IR,11-Jul,0.0682
18,high,53,WB,13-Jul,0.0972
18,high,53,IR,13-Jul,0.0511
18,high,43,WB,18-Jul,0.0995
18,high,43,IR,18-Jul,0.0629
19,high,14,WB,11-Jul,0.012
19,high,14,IR,11-Jul,0.0209
19,high,24,WB,13-Jul,0.061
19,high,24,IR,13-Jul,0.0362
19,high,27,WB,18-Jul,0.0636
19,high,27,IR,18-Jul,0.0224
22,high,17,WB,11-Jul,0.0394
22,high,17,IR,11-Jul,0.1481
22,high,30,WB,13-Jul,0.1159
22,high,30,IR,13-Jul,0.129
22,high,34,WB,18-Jul,0.1848
22,high,34,IR,18-Jul,0.0567
